,Company Name,Country Founded,Year Founded,Revenue 2018,Revenue 2019,Revenue 2020,Net Income 2018,Net Income 2019,Net Income 2020,Industry,Total Revenue 2018 - 2020,Total Net Income 2018 - 2020,Avg Revenue 2018 - 2020,Avg Net Income 2018 - 2020,Avg Profit Margin 2018 - 2020
0,Chevron,United States,1879,134600000000.0,134300000000.0,121500000000.0,14800000000.0,11900000000.0,5600000000.0,Oil,390400000000.0,32300000000.0,130133333333.33333,10766666666.666666,0.08273565573770492
1,Exxon Mobil,United States,1870,290200000000.0,265600000000.0,221900000000.0,20800000000.0,14300000000.0,3100000000.0,Oil,777700000000.0,38200000000.0,259233333333.33334,12733333333.333334,0.04911919763404912
