,Company Name,Country Founded,Year Founded,Revenue 2018,Revenue 2019,Revenue 2020,Net Income 2018,Net Income 2019,Net Income 2020,Industry,Total Revenue 2018 - 2020,Total Net Income 2018 - 2020,Avg Revenue 2018 - 2020,Avg Net Income 2018 - 2020,Avg Profit Margin 2018 - 2020
0,Apple,United States,1976,265600000000.0,260200000000.0,274500000000.0,59500000000.0,55200000000.0,111400000000.0,Technology,800300000000.0,226100000000.0,266766666666.66666,75366666666.66667,0.2825190553542422
1,Microsoft,United States,1975,110400000000.0,130900000000.0,143000000000.0,16600000000.0,44300000000.0,53000000000.0,Technology,384300000000.0,113900000000.0,128100000000.0,37966666666.666664,0.2963830340879521
