,Company Name,Country Founded,Year Founded,Revenue 2018,Revenue 2019,Revenue 2020,Net Income 2018,Net Income 2019,Net Income 2020,Industry,Total Revenue 2018 - 2020,Total Net Income 2018 - 2020,Avg Revenue 2018 - 2020,Avg Net Income 2018 - 2020,Avg Profit Margin 2018 - 2020
0,Coca-Cola,United States,1886,31900000000.0,32200000000.0,37200000000.0,7200000000.0,7600000000.0,10200000000.0,Beverages,101300000000.0,25000000000.0,33766666666.666668,8333333333.333333,0.24679170779861795
1,PepsiCo,United States,1898,64700000000.0,67100000000.0,67300000000.0,6500000000.0,7200000000.0,7600000000.0,Beverages,199100000000.0,21300000000.0,66366666666.666664,7100000000.0,0.10698141637368157
